[ 2012-09-16T16:37:00+08:00 ] /admin.php/Introduction/introModify/id/10 | DEBUG: Run CheckRoute Behavior [ RunTime:0.000410s ]
[ 2012-09-16T16:37:00+08:00 ] /admin.php/Introduction/introModify/id/10 | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.000496s ]
[ 2012-09-16T16:37:00+08:00 ] /admin.php/Introduction/introModify/id/10 | DEBUG: Tag[ app_begin ] --START--
[ 2012-09-16T16:37:00+08:00 ] /admin.php/Introduction/introModify/id/10 | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000272s ]
[ 2012-09-16T16:37:00+08:00 ] /admin.php/Introduction/introModify/id/10 | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000185s ]
[ 2012-09-16T16:37:00+08:00 ] /admin.php/Introduction/introModify/id/10 | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000521s ]
[ 2012-09-16T16:37:00+08:00 ] /admin.php/Introduction/introModify/id/10 | SQL: SHOW COLUMNS FROM `qilihai_introduction` [ RunTime:0.000874s ]
[ 2012-09-16T16:37:00+08:00 ] /admin.php/Introduction/introModify/id/10 | SQL: SELECT * FROM `qilihai_introduction` WHERE id = 10 LIMIT 1   [ RunTime:0.000270s ]
[ 2012-09-16T16:37:00+08:00 ] /admin.php/Introduction/introModify/id/10 | NOTIC: [8] unserialize(): Error at offset 0 of 3 bytes IntroductionAction.class.php 第 122 行.
[ 2012-09-16T16:37:00+08:00 ] /admin.php/Introduction/introModify/id/10 | DEBUG: Tag[ view_template ] --START--
[ 2012-09-16T16:37:00+08:00 ] /admin.php/Introduction/introModify/id/10 | DEBUG: Run LocationTemplate Behavior [ RunTime:0.000319s ]
[ 2012-09-16T16:37:00+08:00 ] /admin.php/Introduction/introModify/id/10 | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.000388s ]
[ 2012-09-16T16:37:00+08:00 ] /admin.php/Introduction/introModify/id/10 | DEBUG: Tag[ view_parse ] --START--
[ 2012-09-16T16:37:00+08:00 ] /admin.php/Introduction/introModify/id/10 | NOTIC: [8192] Function split() is deprecated 27cea9920114dae642e6cfb40167845e.php 第 111 行.
[ 2012-09-16T16:37:00+08:00 ] /admin.php/Introduction/introModify/id/10 | NOTIC: [8] Undefined offset: 1 27cea9920114dae642e6cfb40167845e.php 第 119 行.
