[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.000516s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_filter ] --START--
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Run ContentReplace Behavior [ RunTime:0.000180s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Run TokenBuild Behavior [ RunTime:0.000227s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.000093s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Run ShowRuntime Behavior [ RunTime:0.000221s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.000831s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_end ] --START--
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.000208s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.000245s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ route_check ] --START--
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Run CheckRoute Behavior [ RunTime:0.000437s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.000526s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ app_begin ] --START--
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000267s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000188s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000519s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | SQL: SHOW COLUMNS FROM `notice` [ RunTime:0.000498s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | SQL: SELECT * FROM `notice`  [ RunTime:0.000088s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | SQL: SELECT * FROM `notice` WHERE type = 1 ORDER BY create_time LIMIT 10   [ RunTime:0.000090s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | SQL: SELECT * FROM `notice` WHERE type = 2 ORDER BY create_time LIMIT 10   [ RunTime:0.000078s ]
